RESULT,PONO,BATCHNO,MIXNO,PDATE,M1T10,T10RE,M1T90,T90RE,M1ML,M1MH,D2MN,D2MNRE,Hard,HardRE,ram_count_closed,ram_closedtime,ram_closedtimemax,ram_opentime,ram_opentimemax,temp_avg_all,temp_avg_when_ram_closed,temp_avg_when_ram_open,temp_max_when_ram_closed,temp_max_when_ram_open,temp_max_minus_min_when_ram_closed,tempinc_avg_when_ram_closed,tempinc_max_when_ram_closed,heat_flux_when_ram_all,heat_flux_when_ram_closed,heat_flux_when_ram_open,volt_avg_all,volt_avg_when_ram_closed,volt_avg_when_ram_open,volt_max_when_ram_closed,volt_max_when_ram_open,volt_max_minus_min,physics_flux_all,physics_flux_when_ram_closed,physics_flux_when_ram_open
NG,14687655,9,K-PMB-17G,737871,132.0,OK,420.0,OK,5.09,24.72,105.9,NG,87.0,OK,4,241,120,81,38,82.22360248447204,86.22572614107884,70.31604938271606,114.3,110.5,114.3,0.0030062384590366573,0.12885662431941927,26476.0,20780.4,5695.6,112.33229813664595,139.7966804979253,30.617283950617285,198.0,139.0,198.0,36171.0,33691.0,2480.0
NG,14687655,12,K-PMB-17G,737871,114.0,OK,391.0,OK,4.5,21.92,103.4,NG,87.0,OK,4,241,120,81,36,83.19285714285716,88.04564315352697,68.75432098765432,118.3,113.1,118.3,0.0028363049746955517,0.07377049180327869,26788.1,21219.0,5569.1,120.98757763975156,147.19502074688796,43.012345679012356,222.0,154.0,222.0,38958.0,35474.0,3484.0
NG,14687655,15,K-PMB-17G,737871,125.0,OK,420.0,OK,4.66,23.45,105.8,NG,87.0,OK,4,239,119,83,35,83.10186335403726,87.1849372384937,71.34457831325301,116.1,111.8,116.1,0.002734469608549804,0.07241910631741122,26758.8,20837.2,5921.6,114.81366459627328,143.49790794979083,32.21686746987952,202.0,143.0,202.0,36970.0,34296.0,2674.0
NG,14687655,18,K-PMB-17G,737871,129.0,OK,432.0,OK,4.44,24.07,101.8,NG,86.0,OK,4,235,120,88,49,81.81919504643963,87.68297872340428,66.16022727272728,118.9,113.9,118.9,0.003181717573929742,0.06711409395973154,26427.6,20605.5,5822.1,121.0061919504644,150.99574468085106,40.92045454545455,214.0,146.0,214.0,39085.0,35484.0,3601.0
NG,14687655,21,K-PMB-17G,737871,125.0,OK,428.0,OK,4.9,23.57,109.0,NG,86.0,OK,4,235,120,91,45,82.21779141104294,88.43063829787235,66.17362637362636,116.9,113.2,116.9,0.002884764355390364,0.08791208791208782,26803.0,20781.2,6021.799999999998,116.11656441717793,148.35319148936168,32.86813186813187,215.0,144.0,215.0,37854.0,34863.0,2991.0
NG,14687655,24,K-PMB-17G,737871,115.0,OK,392.0,OK,5.3,25.27,105.7,NG,88.0,OK,4,241,120,81,47,80.89813664596274,86.06141078838175,65.5358024691358,115.8,111.1,115.8,0.002899885376574095,0.1076388888888888,26049.2,20740.800000000007,5308.4000000000015,112.82608695652172,140.19917012448133,31.382716049382715,203.0,135.0,203.0,36330.0,33788.0,2542.0
NG,14685152,1,K-PMB-17G,737868,130.0,OK,430.0,OK,4.27,24.27,103.6,NG,85.0,OK,4,236,119,87,52,81.61455108359135,88.89576271186442,61.863218390804604,123.8,117.0,123.8,0.0041442856596584175,0.12718600953895054,26361.5,20979.4,5382.1,122.7894736842105,151.39830508474574,45.18390804597701,221.0,142.0,221.0,39661.0,35730.0,3931.0
NG,14685152,3,K-PMB-17G,737868,124.0,OK,431.0,OK,4.65,24.76,107.4,NG,87.0,OK,4,237,119,103,59,79.76441176470588,87.20464135021095,62.644660194174755,118.9,113.7,118.9,0.0028606640354220773,0.10344827586206877,27119.9,20667.5,6452.4000000000015,119.13235294117645,154.9789029535865,36.65048543689321,231.0,152.0,231.0,40505.0,36730.0,3775.0
NG,14685152,6,K-PMB-17G,737868,127.0,OK,473.0,OK,4.3,22.99,100.5,NG,86.0,OK,5,232,84,101,51,82.1045045045045,88.26163793103447,67.96138613861388,118.9,114.7,118.9,0.0033082535085148307,0.12116316639741505,27340.8,20476.7,6864.100000000001,113.81081081081079,146.9439655172414,37.70297029702971,213.0,173.0,213.0,37899.0,34091.0,3808.0
NG,14685152,9,K-PMB-17G,737868,127.0,OK,464.0,OK,4.77,24.33,104.6,NG,86.0,OK,5,242,84,81,33,85.50092879256965,88.81983471074379,75.58518518518521,118.0,114.2,118.0,0.002812043040049188,0.06270096463022494,27616.8,21494.4,6122.4000000000015,114.80495356037152,143.70247933884298,28.46913580246914,202.0,163.0,202.0,37082.0,34776.0,2306.0
